date,AAVE/USDT:USDT,ADA/USDT:USDT,APT/USDT:USDT,ASTER/USDT:USDT,AVAX/USDT:USDT,BCH/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOGE/USDT:USDT,DOT/USDT:USDT,ENA/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,HBAR/USDT:USDT,HYPE/USDT:USDT,IP/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,NEAR/USDT:USDT,ONDO/USDT:USDT,POL/USDT:USDT,SOL/USDT:USDT,SUI/USDT:USDT,TAO/USDT:USDT,TON/USDT:USDT,TRX/USDT:USDT,UNI/USDT:USDT,WLD/USDT:USDT,WLFI/USDT:USDT,XLM/USDT:USDT,XMR/USDT:USDT,XRP/USDT:USDT,ZEC/USDT:USDT
2025-10-11 04:59:00+00:00,233.69,0.6576,3.9758,1.3528,22.17,538.36,1136.74,112905.3,0.19645,3.179,0.4414,14.863,3818.54,0.17096,39.272,4.881,17.727,100.52,2.453,0.7483,0.19264,185.63,2.7607,304.66,2.1299,0.31685,5.919,0.9521,0.1309,0.3282,293.22,2.4415,223.81
2025-10-11 05:00:00+00:00,233.87,0.6575,3.9713,1.3482,22.208,539.07,1135.12,112839.9,0.19615,3.178,0.441,14.858,3815.0,0.17116,39.242,4.781,17.747,100.72,2.455,0.7501,0.19281,185.61,2.7574,304.82,2.1221,0.31688,5.917,0.9542,0.1311,0.32816,293.32,2.4385,224.38
2025-10-11 05:01:00+00:00,233.41,0.6572,3.9765,1.3472,22.179,537.77,1134.28,112779.3,0.196,3.175,0.4413,14.825,3817.0,0.17083,39.261,4.794,17.739,100.46,2.454,0.7479,0.19289,185.45,2.7533,303.92,2.1269,0.31688,5.918,0.9498,0.1311,0.32766,293.13,2.4376,222.75
2025-10-11 05:02:00+00:00,234.17,0.6575,3.9771,1.352,22.179,537.56,1136.48,112801.8,0.19603,3.179,0.4417,14.816,3824.02,0.17088,39.202,4.809,17.739,100.49,2.45,0.7464,0.19276,185.41,2.7562,304.18,2.1262,0.31738,5.931,0.9525,0.1311,0.32769,293.51,2.4374,222.85
2025-10-11 05:03:00+00:00,233.56,0.6566,3.9726,1.3479,22.181,536.19,1134.31,112657.6,0.19558,3.168,0.4409,14.774,3816.34,0.17081,39.207,4.832,17.696,100.23,2.445,0.7478,0.19221,185.27,2.7517,303.37,2.1232,0.31727,5.926,0.9493,0.131,0.3268,293.04,2.4369,222.68
2025-10-11 05:04:00+00:00,233.3,0.6555,3.9583,1.3488,22.114,536.89,1132.71,112582.6,0.19531,3.161,0.4396,14.788,3814.17,0.17056,39.21,4.814,17.664,99.96,2.433,0.7474,0.19207,184.91,2.7516,303.7,2.1196,0.31738,5.921,0.9446,0.1308,0.32669,293.04,2.4363,221.42
2025-10-11 05:05:00+00:00,233.14,0.6548,3.957,1.3429,22.108,536.63,1133.4,112628.2,0.19515,3.154,0.4397,14.776,3816.34,0.17032,39.129,4.803,17.663,99.6,2.434,0.7461,0.19191,184.99,2.746,302.35,2.1155,0.31745,5.91,0.9415,0.1308,0.32622,292.62,2.4354,220.72
2025-10-11 05:06:00+00:00,233.92,0.6542,3.9588,1.3453,22.125,538.16,1137.61,112670.0,0.1953,3.156,0.44,14.836,3817.69,0.1703,39.115,4.803,17.698,99.79,2.436,0.7478,0.19249,185.23,2.7512,302.05,2.1206,0.31743,5.916,0.9401,0.1309,0.32597,293.21,2.437,220.29
2025-10-11 05:07:00+00:00,233.65,0.6547,3.956,1.3483,22.12,538.86,1138.41,112649.9,0.19522,3.158,0.4393,14.838,3814.0,0.17005,39.088,4.852,17.72,99.75,2.436,0.7484,0.19227,185.34,2.7509,302.12,2.1218,0.31742,5.914,0.9427,0.1309,0.32694,293.8,2.4387,220.62
2025-10-11 05:08:00+00:00,233.6,0.6558,3.9442,1.3452,22.125,538.78,1135.49,112635.8,0.19511,3.154,0.4387,14.824,3811.05,0.16995,39.023,4.82,17.699,99.7,2.433,0.7489,0.19215,185.05,2.7505,302.49,2.1181,0.31763,5.907,0.9413,0.1311,0.32737,294.16,2.4414,220.7
2025-10-11 05:09:00+00:00,233.53,0.6554,3.9394,1.3415,22.124,538.17,1134.48,112625.8,0.19521,3.152,0.4386,14.812,3808.52,0.16993,38.99,4.836,17.684,99.9,2.431,0.749,0.19189,185.03,2.7488,301.78,2.1142,0.31751,5.908,0.9398,0.1314,0.32746,294.62,2.4432,221.99
2025-10-11 05:10:00+00:00,232.48,0.6537,3.9152,1.3351,22.084,536.44,1132.76,112556.0,0.1949,3.143,0.4376,14.771,3805.36,0.16948,38.988,4.796,17.655,99.75,2.426,0.7477,0.19107,184.61,2.7431,300.27,2.1113,0.31726,5.887,0.9375,0.1308,0.32644,293.66,2.4358,221.9
2025-10-11 05:11:00+00:00,232.7,0.654,3.9246,1.3379,22.058,536.4,1135.78,112550.4,0.1953,3.147,0.438,14.769,3806.04,0.16965,39.01,4.819,17.634,99.76,2.429,0.7487,0.19107,184.58,2.7467,300.94,2.1124,0.31716,5.893,0.9402,0.1311,0.3264,293.13,2.4394,222.45
2025-10-11 05:12:00+00:00,233.01,0.6551,3.9242,1.34,22.07,536.31,1136.22,112619.7,0.19561,3.155,0.438,14.82,3808.21,0.16972,39.158,4.822,17.651,99.89,2.434,0.7491,0.19132,184.61,2.7486,301.71,2.1139,0.31724,5.901,0.9442,0.1313,0.3268,293.07,2.4375,222.24
